Cluster,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Age,Credit_History_Age
0,53528.1924260355,4459.206502763981,7.788954635108481,7.372781065088757,24.214990138067062,4.834319526627219,39.82396449704142,20.157462195923735,9.095338593030899,11.523339907955291,2201.3963116370805,32.11371538710819,170.51489379920636,682.5521785964637,366.59207431865,30.57199211045365,12.781065088757396
1,16672.51377622378,1388.0935212686736,7.973047785547785,7.460810023310023,24.263986013986013,4.809440559440559,38.1756993006993,19.95789627039627,7.604382284382285,11.330273892773894,2032.3769405594408,31.787044701797424,53.67757403212657,563.5310636257941,276.72834062722774,30.472027972027973,13.416083916083917
2,59630.02323630137,4932.015474567294,7.97674086757991,7.598458904109589,24.898972602739725,7.465753424657534,38.42993721461187,20.116723744292237,18.05285388127854,11.367437214611872,3575.8310787671235,31.54550321000293,311.8118578441186,589.1023676306039,280.6955947803147,29.95205479452055,7.809931506849315
3,19310.88629378981,1601.78689456681,8.026472929936306,7.454617834394904,24.431528662420384,7.150477707006369,38.15160562632696,19.847399150743097,17.137653927813165,11.395833333333332,3500.60650477707,31.339625307982438,91.02140528635022,551.7249250774966,249.88879319029786,30.377388535031848,8.078025477707007
